James offisko                         dito Commandeur

Jarn                                  60 Major Hellman
France Ferdinand                      63 Major Lantam
France Charl. Ferdinand              60 Capᵗ Letagnan
Mecklenburg Strelitz                 60 Major Ribant
25 Teutland                          56 Capᵗ Heeberg
Uplande                              99 Major Rubin
Torna                                99 Capᵗ Mertensen
Delleon                              90 Capᵗ Wanersward
Crona                                90 Wachts Mark
26 Troye                             90 Major Grubbe
Limarc                               90 Capᵗ Ameslorff
Camellie                             90 Capᵗ Heidenham
Helso                                90 Capᵗ Mirmia
Euripthe                             49 Major Geif
27 Valachée                          40 Capᵗ van Helden
Inom ursprung Tyskland               40 Capᵗ Laparrbale
Curiama per D.º                      32 Capᵗ Borangel
Hector charier Tyskland              26 Capᵗ Ederström
eller Jeram   D.º                    
28 Miƒƒar eller Berg                 40 Capᵗ Blom
Dragon D.º                           10 de lapen
Talleon eller                        10 de Pobon
Jeruʃalem eller                      10 Taugan mon Ebacte
29 Cuƒterdrucker eller Alor          19 Capᵗ Melbye en Egyptian
à Martinis eller Alor                16 Taugan van Luang
                                     0 Taugan Wastmannsdorff
